identifier	type	label	parent	intersection	description	sce	principal quantum number	azimuthal quantum number	magnetic quantum number	see also	depiction
ID	TYPE	AT rdfs:label^^xsd:string	SC %	SC %	AT dc:description^^xsd:string	SC %	SC 'has principal quantum number' value %	SC 'has azimuthal quantum number' value %	SC 'has magnetic quantum number' value %		
ORBITAL:0000002	class	atomic orbital by principle quantum number	ORBITAL:0000001								
ORBITAL:0000003	class	1 orbital	ORBITAL:0000002				1				
ORBITAL:0000004	class	2 orbital	ORBITAL:0000002				2				
ORBITAL:0000005	class	3 orbital	ORBITAL:0000002				3				
ORBITAL:0000006	class	4 orbital	ORBITAL:0000002				4				
ORBITAL:0000007	class	5 orbital	ORBITAL:0000002				5				
ORBITAL:0000008	class	6 orbital	ORBITAL:0000002				6				
ORBITAL:0000009	class	7 orbital	ORBITAL:0000002				7				
ORBITAL:0000010	class	atomic orbital by azimuthal quantum number	ORBITAL:0000001								
ORBITAL:0000011	class	s orbital	ORBITAL:0000010					0			
ORBITAL:0000012	class	p orbital	ORBITAL:0000010					1			
ORBITAL:0000013	class	d orbital	ORBITAL:0000010					2			
ORBITAL:0000014	class	f orbital	ORBITAL:0000010					3			
ORBITAL:0000015	class	g orbital	ORBITAL:0000010					4			
ORBITAL:0000016	class	h orbital	ORBITAL:0000010					6			
ORBITAL:0000017	class	i orbital	ORBITAL:0000010					7			
ORBITAL:0000018	class	atomic orbital by principle and azimuthal quantum number	ORBITAL:0000001	'ORBITAL:0000002' and 'ORBITAL:0000010'							
ORBITAL:0000019	class	1s orbital	ORBITAL:0000018	'1 orbital' and 's orbital'			1	0			https://www.physics-in-a-nutshell.com/img/content/solid-state-physics/1s-orbital.svg
ORBITAL:0000020	class	2s orbital	ORBITAL:0000018	'2 orbital' and 's orbital'			2	0			
ORBITAL:0000021	class	2p orbital	ORBITAL:0000018	'2 orbital' and 'p orbital'			2	1			https://www.physics-in-a-nutshell.com/img/content/solid-state-physics/2p-orbitals.svg
ORBITAL:0000022	class	3s orbital	ORBITAL:0000018	'3 orbital' and 's orbital'			3	0			
ORBITAL:0000023	class	3p orbital	ORBITAL:0000018	'3 orbital' and 'p orbital'			3	1			
ORBITAL:0000024	class	3d orbital	ORBITAL:0000018	'3 orbital' and 'd orbital'			3	2			https://www.physics-in-a-nutshell.com/img/content/solid-state-physics/3d-orbitals.svg
ORBITAL:0000025	class	4s orbital	ORBITAL:0000018	'4 orbital' and 's orbital'			4	0			
ORBITAL:0000026	class	4p orbital	ORBITAL:0000018	'4 orbital' and 'p orbital'			4	1			
ORBITAL:0000027	class	4d orbital	ORBITAL:0000018	'4 orbital' and 'd orbital'			4	2			
ORBITAL:0000028	class	4f orbital	ORBITAL:0000018	'4 orbital' and 'f orbital'			4	3			
ORBITAL:0000029	class	5s orbital	ORBITAL:0000018	'5 orbital' and 's orbital'			5	0			
ORBITAL:0000030	class	5p orbital	ORBITAL:0000018	'5 orbital' and 'p orbital'			5	1			
ORBITAL:0000031	class	5d orbital	ORBITAL:0000018	'5 orbital' and 'd orbital'			5	2			
ORBITAL:0000032	class	5f orbital	ORBITAL:0000018	'5 orbital' and 'f orbital'			5	3			
ORBITAL:0000033	class	5g orbital	ORBITAL:0000018	'5 orbital' and 'g orbital'			5	4			
ORBITAL:0000034	class	6s orbital	ORBITAL:0000018	'6 orbital' and 's orbital'			6	0			
ORBITAL:0000035	class	6p orbital	ORBITAL:0000018	'6 orbital' and 'p orbital'			6	1			
ORBITAL:0000036	class	6d orbital	ORBITAL:0000018	'6 orbital' and 'd orbital'			6	2			
ORBITAL:0000037	class	6f orbital	ORBITAL:0000018	'6 orbital' and 'f orbital'			6	3			
ORBITAL:0000038	class	6g orbital	ORBITAL:0000018	'6 orbital' and 'g orbital'			6	4			
ORBITAL:0000039	class	6h orbital	ORBITAL:0000018	'6 orbital' and 'h orbital'			6	5			
ORBITAL:0000040	class	7s orbital	ORBITAL:0000018	'7 orbital' and 's orbital'			7	0			
ORBITAL:0000041	class	7p orbital	ORBITAL:0000018	'7 orbital' and 'p orbital'			7	1			
ORBITAL:0000042	class	7d orbital	ORBITAL:0000018	'7 orbital' and 'd orbital'			7	2			
ORBITAL:0000043	class	7f orbital	ORBITAL:0000018	'7 orbital' and 'f orbital'			7	3			
ORBITAL:0000044	class	7g orbital	ORBITAL:0000018	'7 orbital' and 'g orbital'			7	4			
ORBITAL:0000045	class	7h orbital	ORBITAL:0000018	'7 orbital' and 'h orbital'			7	5			
ORBITAL:0000046	class	7i orbital	ORBITAL:0000018	'7 orbital' and 'i orbital'			7	6			
ORBITAL:0000047	class	atomic orbital by azimuthal and magnetic quantum number	ORBITAL:0000001								
ORBITAL:0000048	class	sz⁰ orbital	ORBITAL:0000047	's orbital' and 'orbital with magnetic quantum number 0'				0	0		https://upload.wikimedia.org/wikipedia/commons/1/1d/S1M0.png
ORBITAL:0000049	class	pz orbital	ORBITAL:0000047	'p orbital' and 'orbital with magnetic quantum number 0'				1	0		https://upload.wikimedia.org/wikipedia/commons/8/8f/S2M0.png
ORBITAL:0000050	class	px orbital	ORBITAL:0000047	'p orbital' and 'orbital with magnetic quantum number ±1'				1	1		
ORBITAL:0000051	class	py orbital	ORBITAL:0000047	'p orbital' and 'orbital with magnetic quantum number ±1'				1	-1		
ORBITAL:0000052	class	dz² orbital	ORBITAL:0000047	'd orbital' and 'orbital with magnetic quantum number 0'				2	0		
ORBITAL:0000053	class	dxz orbital	ORBITAL:0000047	'd orbital' and 'orbital with magnetic quantum number ±1'				2	1		
ORBITAL:0000054	class	dyz orbital	ORBITAL:0000047	'd orbital' and 'orbital with magnetic quantum number ±1'				2	-1		
ORBITAL:0000055	class	dxy orbital	ORBITAL:0000047	's orbital' and 'orbital with magnetic quantum number ±2'				2	2		
ORBITAL:0000056	class	dx²-y² orbital	ORBITAL:0000047	'd orbital' and 'orbital with magnetic quantum number ±2'				2	-2		
ORBITAL:0000057	class	fz³ orbital	ORBITAL:0000047	'f orbital' and 'orbital with magnetic quantum number 0'				3	0		
ORBITAL:0000058	class	fxz² orbital	ORBITAL:0000047	'f orbital' and 'orbital with magnetic quantum number ±1'				3	1		
ORBITAL:0000059	class	fyz² orbital	ORBITAL:0000047	'f orbital' and 'orbital with magnetic quantum number ±1'				3	-2		
ORBITAL:0000060	class	fxyz orbital	ORBITAL:0000047	'f orbital' and 'orbital with magnetic quantum number ±2'				3	2		
